Source,Round,Number,Question,Answer
2020 ERIS,1,18,"This kingdom's namesake ""hegemony"" ended after it was defeated by Thebes at Leuctra. Admiral Lysander helped this kingdom win the Battle of Aegospotami, securing their victory in the (*) Peloponnesian War. At the Battle of Thermopylae, King Leonidas led 300 soldiers from this place against a huge Persian army. For 10 points, name this militaristic Ancient Greek city-state often at odds with Athens.",Sparta [or Lacedaemon]
2020 ERIS,1,19,"When these machines exceed the critical value of attack, it causes a dangerous situation called a ""stall"". A common and sometimes incorrect explanation for how these machines work invokes the Bernoulli principle to explain that the air above one part of them is less (*) dense than below, generating lift. For 10 points, what machines might be powered by jet engines and take off from runways?",airplanes [or aircraft; accept specific types of airplanes; accept airfoils or airplane wings or airplane propellors]
2020 ERIS,1,20,"Time-traveling bandits who steal these objects are the subject of a fictional book in the Diary of a Wimpy Kid series that was banned in Greg's school. A superhero named for these objects was created by using a 3-D Hypno Ring on the school principal Mr. (*) Krupp and goes on adventures with George and Harold. For 10 points, Dav Pilkey created a superhero named the ""Captain"" of what clothing?","underpants [accept synonyms such as underwear, drawers, undergarments, or boxer shorts; accept Underpants Bandits or Captain Underpants]"
2020 ERIS,2,1,"In one story by this author, the homeless Soapy unsuccessfully tries to get himself arrested to avoid the cold. This author of ""The Cop and the Anthem"" also wrote about two men's kidnapping of Ebenezer Dorset, which fails when they have to pay his (*) father to take his son back. ""The Ransom of Red Chief"" is by, for 10 points, what American author of short stories such as ""The Gift of the Magi""?",O. Henry [or William Sydney Porter]
2020 ERIS,2,2,"One ruler with this name issued the Edict of Fontainebleau, revoking the earlier Edict of Nantes and removing the rights of Protestants. That king ruled from 1643 to 1715, was known as the Sun King, and was the (*) 14th king of France with this name. The 16th French king of this name was guillotined during the French Revolution. For 10 points, what name was held by eighteen kings of France?",Louis [accept Louis XIV (read as “the fourteenth”) or Louis XVI (read as “the sixteenth”)]
2020 ERIS,2,3,"Chaturanga is an early form of this activity, where the en passant move can be performed. Opening moves in this game include the Sicilian Defence and the Ruy Lopez. The computer Deep Blue beat (*) Garry Kasparov at this game, whose pieces include bishops which move diagonally and are restricted to one color of square. For 10 points, name this board game in which you win through checkmate.",chess
2020 ERIS,2,4,"This modern-day country was home to the Norte Chico civilization, the oldest known in the Americas. This non-Bolivia country's huacas are traditional places of worship for Quechua-speaking peoples, some of whom also built its mysterious (*) Nazca Lines. This country's city of Cuzco was the former capital of the Inca Empire. For 10 points, name this country home to the citadel Machu Picchu (MAH-choo PICK-choo).",Republic of Peru [or Piruw Republika or Piruw Suyu]
2020 ERIS,2,5,"Pauline Bonaparte insisted on posing nude for a sculpture of this deity, whom Titian depicted lying nude on a red couch in a painting of her ""of Urbino"". This goddess stands on a seashell in (*) Botticelli's depiction of her ""Birth"". A famous ancient Greek statue of this non-Nike goddess is missing its arms. A statue from the island of Milos depicts, for 10 points, what Roman goddess of beauty?","Venus [prompt on Aphrodite after ""Greek"" is read]"
2020 ERIS,2,6,"This quantity times one-half the apothem gives the area of any regular polygon. A value equal to one-half of this quantity appears in Heron's formula, which is used to find the areas of (*) triangles. For a rectangle, this quantity equals twice the width plus twice the height. Circumference is the value for a circle of, for 10 points, what quantity equal to the sum of the side lengths of a polygon?","perimeter [do NOT accept or prompt on ""semiperimeter""]"
2020 ERIS,2,7,"These ecosystems are threatened by acidification of their surroundings, which can cause them to undergo bleaching. Ring-shaped examples of these ecosystems which enclose a lagoon are called (*) atolls. These ecosystems' namesake animals consist of colonies of thousands of polyps. For 10 points, name these marine biodiversity hotspots which include a ""Great Barrier"" one off the coast of Australia.",coral reefs [accept barrier reefs]
2020 ERIS,2,8,"In an 1801 experiment, Thomas Young proved that these particles exhibit wave-particle duality by firing them through two slits. Planck's constant relates the speed of these particles to their frequency. Like gluons, these particles have no (*) mass. These particles can carry electromagnetic radiation such as UV and infrared. For 10 points, name these particles, the quanta of light.","photons [do not accept or prompt on ""protons""]"
2020 ERIS,2,9,"Barnard 68 is a particularly visible ""dark"" version of this type of object. The Hubble Space Telescope photographed one of these objects in the photo ""Pillars of Creation"". ""Planetary"" examples of these objects are formed when stars eject their outer layers into space. The (*) ""Horsehead"" and ""Crab"" ones are famous examples of, for 10 points, what interstellar clouds of gas and dust?",nebulae
2020 ERIS,2,10,"In this novel, one character is allowed to join an Owsla after being given a Mark. General Woundwort is defeated at the title location of this novel after its protagonists unleash a watchdog. This novel begins with (*) Fiver receiving a vision of his home being destroyed, causing him and his friends to search for a new warren. For 10 points, name this Richard Adams adventure novel about rabbits.",Watership Down
2020 ERIS,2,11,"A colonial governor of this modern-day state, William Berkeley, was recalled to England following a 1676 uprising here led by Nathaniel Bacon. This state's House of Burgesses was the first representative legislature in America. One colony in this state was afflicted by the (*) ""Starving Time"" and came into conflict with the Powhatan. For 10 points, in what state was Jamestown established in 1607?",Virginia
2020 ERIS,2,12,"Before becoming an author, Zora Neale Hurston primarily practiced this discipline. A practitioner of this discipline traveled to Melanesia to write his work Argonauts of the Western Pacific. Bronisław (*) Malinowski (bro-NEE-swaaf mah-lee-NOHF-skee) was a practitioner of this academic discipline, which is often studied alongside archaeology. For 10 points, what academic field studies human culture and society?",anthropology [accept word forms; prompt on social science]
2020 ERIS,2,13,"Shortly after this man came out as gay, he tweeted an image of a rainbow background in his album art with the caption ""thought I made it obvious"". This man collaborated with Cardi B on his song Rodeo and with (*) Billy Ray Cyrus on a remix of a song where he sings his ""hat is matte black"" and he's ""got the horses in the back"". For 10 points, name this rapper behind ""Panini"" and ""Old Town Road"".",Lil Nas X [or Montero Lamar Hill; do NOT accept or prompt on Nas alone]
2020 ERIS,2,14,"One poem about this war opens by asking ""what passing-bells for those who die as cattle?"". In another poem about this war, a man ""plunges at me, guttering, choking, drowning"" as he dies during a (*) gas attack. ""Anthem for Doomed Youth"" and ""Dulce et Decorum Est"" were written by Wilfred Owen during, for 10 points, what 1910s ""Great War""?",World War I [or the First World War; accept the Great War until mention]
2020 ERIS,2,15,"Grandmother Spider successfully stole this object in a clay bowl according to one myth. The Incas worshipped Inti as the god of this object. The Aztecs believed that the current instance of this (*) celestial body was actually the fifth one created. For 10 points, name this object that, according to Greek mythology, was carried across the sky every day by the chariot of Helios.",the sun
2020 ERIS,2,16,"One of this composer's operas includes the character Prince Calaf and the aria ""Nessun dorma"", and another of his operas features Rodolfo and Mimi and inspired the musical Rent. The aria ""Un bel dì"" is sung by Cio-Cio-San as she waits for (*) Pinkerton in another of this man's operas. For 10 points, name this Italian who composed Turandot, La Bohème, and Madame Butterfly.",Giacomo Puccini
2020 ERIS,2,17,"The most efficient types of these proteins are known as ""kinetically perfect"" or ""diffusion limited"". The induced fit model describes how these proteins bind to substrates to lower the activation energy of a (*) reaction. Examples of these proteins include ligase and polymerase. For 10 points, identify these biological catalysts that increase the speed of biochemical processes.",enzymes [prompt on catalysts until mentioned]
2020 ERIS,2,18,"This book names an anonymous ""disciple whom Jesus loved"" as one of its sources. This book is classified as the only non-synoptic Gospel, and it contains seven ""I am"" statements and seven ""signs"", ending with the raising of (*) Lazarus from the dead. The last of the four Gospels is, for 10 points, what New Testament book which follows Matthew, Mark, and Luke?","Gospel of John [or the Book of John, or the Gospel According to John; prompt on the Fourth Gospel until ""last"" is read; accept Euangélion katà Iōánnēn; do NOT accept or prompt on First John, Second John, or Third John, or any answers about the first, second, or third Epistles of John]"
2020 ERIS,2,19,"As part of the attempt to cover up this event, a series of government officials were fired in the ""Saturday Night Massacre"". This event was reported on by Bob Woodward and Carl Bernstein. Gerald Ford assumed the (*) presidency after the orchestrator of this event resigned rather than face impeachment. For 10 points, what scandal caused Richard Nixon to step down as president?",Watergate scandal
2020 ERIS,2,20,"In the 1850s, James Strang attempted to found a Mormon kingdom on this lake's Beaver Island. The Door Peninsula separates Green Bay from the rest of this lake. This lake is crossed by ferries between Ludington and Manitowoc and between Muskegon and (*) Milwaukee. Northern Indiana and Chicago lie on the shores of, for 10 points, what Great Lake which shares its name with a peninsular state?",Lake Michigan
2020 ERIS,3,1,"This ruler was imprisoned by Leopold of Austria on charges of murdering Conrad of Montferrat. This monarch conquered Cyprus from the Byzantines and sold it to the Templars. This monarch took over leadership of the Third (*) Crusade from Philip II and fought against Saladin. The son of Henry II and Eleanor of Aquitaine was, for 10 points, what 12th-century English king named ""the Lionheart""?","Richard I [accept Richard the Lionheart or Richard Cœur de Lion; prompt on Richard until ""Lionheart"" is read and accept afterwards]"
2020 ERIS,3,2,"One poet from this country wrote that ""each man kills the thing he loves"" after being jailed for homosexuality. Another poet from this non-African country wrote ""things fall apart; the centre cannot hold"" in ""The Second Coming"". Jonathan Swift suggested this country's residents sell babies for (*) food in the satire A Modest Proposal. For 10 points, what country produced W. B. Yeats and Seán O’Casey?",Ireland [or Éire]
2020 ERIS,3,3,"This character owns a sword named Anaklusmos, which transforms from a pen when uncapped. This character, whose mother always makes him blue-colored food, is taken by his best friend (*) Grover Underwood to Camp Half-Blood. The Lightning Thief is the first book about, for 10 points, what son of Poseidon created by Rick Riordan?",Percy Jackson [accept either underlined portion; accept Perseus Jackson]
2020 ERIS,3,4,"The triple alpha process is the formation of this element in stars, and this element combines with nitrogen in cyanide ions. Buckyballs are molecules formed from sixty atoms of this element. The 14 isotope of this element is used in radiometric (*) dating techniques. This element's allotropes include graphite and diamond. The basis for organic life is, for 10 points, what element with symbol C?",carbon [prompt on C before mention]
2020 ERIS,3,5,"This country's capital contains the widest street in the world, the Ninth of July Avenue. Gauchos herd cattle on this country's pampas plains. This country shares the Iguazu Falls with Brazil and Paraguay, and it fought the UK in the (*) Falklands War. This country shares Patagonia with its western neighbor, Chile. For 10 points, what country is led from Buenos Aires?",Argentina
2020 ERIS,3,6,"For two vectors, this operation can be performed on them by using the tip-to-tail or parallelogram method. Repeated applications of this operation can be denoted using a capital (*) sigma. Performing this operation on two adjacent numbers in Pascal's triangle gives the number below them. Multiplication is equivalent to repetition of, for 10 points, what operation which gives the sum of two numbers?","addition [accept summation until ""sum"" is read; accept plus or adding]"
2020 ERIS,3,7,"In one novel set in this country, the geisha Komako falls in love with a ballet expert in a remote hot spring town. Snow Country is set in this country, in which the poet Matsuo Basho mastered a poetic form consisting of three lines of (*) 5, 7, and 5 syllables. Haiku originate from, for 10 points, what homeland of Yasunari Kawabata and Yukio Mishima, whose cities include Osaka and Tokyo?","Japan [or Nippon-koku, or Nihon-koku]"
2020 ERIS,3,8,"This thinker wrote that philosophy was meant to change the world in his Theses on Feuerbach (FOY-uhr-bock) and called religion the ""opium of the people"" in a critique of Hegel. In another work, this thinker claimed all history was a ""history of (*) class struggles"" and commanded the proletarians of the world to ""unite!"". For 10 points, name this collaborator of Friedrich Engels who wrote The Communist Manifesto.",Karl [Heinrich] Marx
2020 ERIS,3,9,"The narrator tries to obtain Captain Kidd's treasure in an Edgar Allan Poe short story whose name contains this color. In the 1890s, many people travelled to places like Dawson City, Yukon after this material was discovered in the (*) Klondike. Prospectors used a technique called ""panning"" to obtain, for 10 points, what precious metal, which first-place medals at the Olympics are made out of?",gold
2020 ERIS,3,10,"In one episode of this show, ""The Boy Who Cried Comet"", the characters believe that a comet is going to hit Earth after it is seen through a telescope. A schoolteacher in this show married his husband Patrick in the episode ""Mr. (*) Ratburn and the Special Someone"". D. W. and Buster appear in, for 10 points, what PBS Kids show set in Elwood City about an aardvark?",Arthur
2020 ERIS,3,11,"This man coined the term ""satyagraha"" to describe his philosophy of political resistance, as exemplified by the 240-mile-long Salt March he undertook to protest British salt monopolies. This man launched the ""Quit (*) India Movement"" to demand independence from Britain. In 1948, a Hindu nationalist assassinated, for 10 points, what Indian nonviolent activist and independence leader?",Mohandas [Karamchand] Gandhi [or Mahatma Gandhi; accept Gandhiji]
2020 ERIS,3,12,"In one fresco by this man, St. Thomas raises his index figure in doubt as the central figure stretches his hands over a table. Another work by this artist shows a man with four arms inscribed in (*) geometric shapes. This man depicted the wife of Francesco del Giocondo smiling mysteriously in another painting. For 10 points, name this Renaissance artist of Vitruvian Man and the Mona Lisa.",Leonardo da Vinci [accept either underlined portion]
2020 ERIS,3,13,"Extremely strong types of these objects can be made out of rare earth metals such as neodymium. These objects generate a field which is measured in Teslas, and iron filings will (*) align themselves in arcs around these objects. Holding one of these objects near a compass needle will deflect it. For 10 points, what objects have North and South poles which attract each other?",magnets
2020 ERIS,3,14,"An instrument of this type plays a continuous ostinato for the entirety of Maurice Ravel's Boléro. The tabla is an Indian instrument of this type. A metal kind of this instrument popular in Caribbean music can play several different notes and is called its (*) ""steel"" type. Timpanis are large, tunable examples of, for 10 points, what percussion instruments with ""bass"" and ""snare"" types?",drums [accept specific types of drums; prompt on percussion until mention]
2020 ERIS,3,15,"These rocks are classified by their silicon content as mafic, such as scoria, and felsic, such as rhyolite. These rocks are further classified as extrusive or intrusive, and most of the (*) youngest rock on earth is this kind of rock. Volcanic activity produces, for 10 points, what type of rock which includes pumice and basalt and is contrasted with metamorphic and sedimentary?",igneous rocks
2020 ERIS,3,16,"The ampulla of Vater is formed by the common bile duct and a duct named for this organ, which is also known as the duct of Wirsung. This organ's islets of Langerhans contain its endocrine cells, which secrete hormones such as glucagon. (*) Diabetes results in reduced function of, for 10 points, what organ which regulates blood sugar levels through the production of insulin?",pancreas
2020 ERIS,3,17,"This state's Executive Order 44, issued by Governor Lilburn Boggs, empowered its citizens to shoot and kill Mormons on sight as part of an 1838 ""War"". One of the starting points of the Oregon Trail was this state's city of Independence. This state was admitted to the Union along with Maine in (*) 1820 as part of its namesake ""Compromise"". For 10 points, name this state led from Jefferson City.",Missouri
2020 ERIS,3,18,"Many gods in this myth system were depicted holding an ankh. In this myth system, dead souls are judged by being weighed against Ma'at's feather of justice. The green-skinned god of the underworld in this myth system was called (*) Osiris, and believers in this myth system mummified their dead. For 10 points, what ancient myth system featured animal-headed deities like Anubis and Isis?",Ancient Egyptian mythology
2020 ERIS,3,19,"This president's administration created the Department of Justice and used it to prosecute members of the KKK. As a general, this man led the Vicksburg campaign during the Civil War, and he accepted Robert E. Lee's (*) surrender at Appomattox. This man and his running mate Schuyler (SKY-ler) Colfax won the 1868 election. For 10 points, name this highest-ranking Union general, a Republican president.",Ulysses S[impson] Grant [or Hiram Ulysses Grant]
2020 ERIS,3,20,"The Ganges River is said to flow from this god's hair. This god's throat turned blue after he swallowed the Halahala poison during the churning of the ocean. This god's wife (*) Parvati forced him to implant an elephant's head to his son, Ganesha, whom he had previously killed. For 10 points, what Hindu ""destroyer"" god makes up the Trimurti with Brahma and Vishnu?",Shiva [or Mahadeva]
2020 ERIS,4,1,"The Battle of Red Cliffs is fought in a novel from this country. In another novel from this country, Sandy, Pigsy, and the Monkey King accompany a Buddhist monk to Vulture Peak. Romance of the Three Kingdoms and (*) Journey to the West are two of the Four Great Classics written in, for 10 points, what country home to the poet Li Bai that was formerly ruled by the Ming Dynasty?",China [or Zhongguo]
2020 ERIS,4,2,"Part of the Western border of this state is formed by the Red River of the North. This state's ""Northwest Angle"" is formed by an unusual border along the Lake of the Woods, which this state shares with (*) Canada. This state is home to the source of the Mississippi River, which forms part of its border with Wisconsin. For 10 points, name this ""land of ten thousand lakes"" whose capital is St. Paul.",Minnesota
2020 ERIS,4,3,"The coat of arms of Moscow depicts a saint killing one of these animals. Drogon, Rhaegal, and Viserion are three of these animals in Game of Thrones owned by Daenerys Targaryen. Thorin Oakenshield leads an expedition to evict one of these animals, (*) Smaug, from the Lonely Mountain. The flags of Bhutan and Wales depict, for 10 points, what mythical fire-breathing flying lizards?",dragons
2020 ERIS,4,4,"Fractures in the crust of these objects result in ""starquakes"". One type of these objects rotates rapidly, emits beams of radiation, and are called pulsars. These objects are supported by a namesake (*) degeneracy pressure, preventing them from collapsing into black holes. For 10 points, name these astronomical objects denser than white dwarfs, entirely composed of their namesake uncharged particle.",neutron stars [antiprompt on pulsars before mentioned; antiprompt on magnetars]
2020 ERIS,4,5,"This figure's mother dreamed of an elephant entering her womb before he was born. This cousin of Devadatta married Yasodhara before escaping his father's palace. After seeing a diseased man, a corpse, and a monk, this man meditated under a (*) bodhi tree. The Eightfold Path and the Four Noble Truths were preached by, for 10 points, what man born Siddhartha Gautama who founded an Asian religion?",Gautama Buddha [accept Siddhartha Gautama before mentioned]
2020 ERIS,4,6,"This politician said that she had broken the ""marble ceiling"" after being elected to her highest position, in which she succeeded Dennis Hastert. This politician memorably ripped up her copy of the 2020 (*) State of the Union speech. This woman represents California's 12th congressional district, which comprises most of San Francisco. For 10 points, name this current Speaker of the House.",Nancy Pelosi [or Nancy Patricia D’Alesandro]
2020 ERIS,4,7,"This country is home to the world's oldest lighthouse still in use, the Tower of Hercules, in its city of A Coruña. This country's Basque-speaking minority lives in cities like Bilbao, while its eastern portion is known as (*) Catalonia. The slogan ""more than a club"" is used by a world-famous soccer team from this country's city of Barcelona. For 10 points, what European country is led from Madrid?","Kingdom of Spain [or Reino de España, or Espainiako Erresuma, or Regne d’Espanya]"
2020 ERIS,4,8,"A young girl dances herself to death as part of a pagan ritual celebrating the start of this season in one ballet. This season appears in the title of a ballet whose premiere in Paris caused (*) riots to break out. Aaron Copland wrote a ballet named for the ""Appalachian"" variety of this season. For 10 points, Igor Stravinsky wrote ""The Rite of"" what season that comes after winter?",spring [accept The Rite of Spring or Appalachian Spring]
2020 ERIS,4,9,"The ""nearly free electron"" theory describes one form of this phase of matter, which is to the immediate left of the triple point. In sublimation, this phase of matter turns into a gas, and (*) precipitates formed during reactions are this phase of matter. For 10 points, identify this phase of matter which does not expand or flow, and is typically denser than liquids or gases.",solids
2020 ERIS,4,10,"Many 16th and 17th century maps incorrectly depicted this modern-day U.S. state as an island. Francis Drake claimed the colony of New Albion in this state. Junípero Serra founded many missions along this state's Camino Real. The (*) Donner Party died trying to reach this state, where an 1849 gold rush attracted thousands of migrants. For 10 points, name this “Golden State”.",California
2020 ERIS,4,11,"The speaker of this poem asks its subject ""is there - is there balm in Gilead?"" before ordering it ""back into the tempest and the Night's Plutonian shore"". The title animal of this poem is perched on a ""pallid bust of (*) Pallas just above my chamber door"". ""Once upon a midnight dreary"" is the opening of, for 10 points, what poem by Edgar Allan Poe in which the title bird declares ""nevermore""?",“The Raven”
2020 ERIS,4,12,"This organ is attached to the body wall by the falciform ligament, which separates it into two lobes. Excessive alcohol consumption can cause this organ to become scarred and lose function, a condition called (*) cirrhosis. This organ can become inflamed in hepatitis, and the gallbladder stores bile produced by it. For 10 points, name this largest internal organ.",liver
2020 ERIS,4,13,"One man with this surname ran a campaign ad about the prisoner Willie Horton. A recount of ""hanging chad"" ballots in Florida enabled another man with this surname to narrowly defeat Al Gore in one election. A man with this surname who promised, ""Read my (*) lips: no new taxes"" later lost re-election in 1992 to Bill Clinton. For 10 points, give this surname of two U.S. Presidents named George.","Bush [accept George H. W. Bush, George W. Bush, or just George Bush]"
2020 ERIS,4,14,"This leader led a Grand Embassy through Western Europe, which inspired him to Westernize his country by means such as introducing a formalized Table of Ranks for the military. This man's country fought the Great Northern War against Sweden from (*) 1700 to 1721. For 10 points, what Russian tsar built a capital on the Neva River named for a saint with the same name?",Peter I [or Peter the Great; prompt on Peter]
2020 ERIS,4,15,"At the end of this novel, the main character is devastated when 511 children ""balloon"" from his residence. In this novel, a rodent named Templeton refuses to help other characters unless he is offered food. One character in this novel (*) weaves words such as ""SOME PIG!"" and ""TERRIFIC"" into the title object. For 10 points, name this novel by E. B. White about a certain spider and the pig Wilbur.",Charlotte's Web
2020 ERIS,4,16,"Achilles owned two of these animals that were immortal and named Balius and Xanthos. Hercules fed Diomedes to some of these animals that he had raised to eat flesh. These animals were crossed with fish in the mythical hippocampus. (*) Bellerophon captured a winged example of one of these animals and used it to try to get to Mt. Olympus. For 10 points, what kind of animal was Pegasus?",horses [accept winged horses; prompt on Pegasus by asking “what kind of animal was he?”]
2020 ERIS,4,17,"The van 't Hoff factor is denoted by the lowercase version of this letter. The element denoted by this letter is used in a test to detect starch and to treat goiters, or swelling of the thyroid. This letter is used to represent electric (*) current. The square root of -1 is denoted by, for 10 points, what letter that represents both the imaginary number and the element Iodine?",i
2020 ERIS,4,18,"If a matrix has determinant zero, then it cannot have one of these things. Functions that fail the horizontal line test do not have one of these things, and reflecting the graph of a function across the line y=x gives the graph of this thing for it. For the function f(x)=x 2 (""f of x equals x squared""), the square (*) root function serves as this thing. For 10 points, identify these functions which ""undo"" another function.",inverses
2020 ERIS,4,19,"This dynasty's Emperor Wu defeated the Xiongnu (shong-noo), turning them into a Chinese tributary, and established Confucianism. This dynasty was succeeded by the Three Kingdoms Period. Liu Bang founded this (*) longest-reigning Chinese dynasty, succeeding the Qin (chin). For 10 points, name this Chinese dynasty which reigned from 202 BC to 220 AD and shares its name with the largest Chinese ethnicity.",Han Dynasty
2020 ERIS,4,20,"English-Portuguese trade in cloth and this man-made good were analyzed by economist David Ricardo. Regions like Bordeaux in France and California's Napa Valley contain many (*) vineyards, which grow this drink's main ingredient and then produce it. For 10 points, what alcoholic beverage comes in ""red"" and ""white"" varieties, depending on the color of the grapes used to make it?",wine [prompt on alcohol]
2020 ERIS,5,1,"A painting by J. M. W. Turner depicts one of these objects on a bridge and is titled Rain, Steam, and Speed. The American businessman Ratchett is murdered on one of these vehicles in the Agatha Christie novel Murder on the Orient (*) Express. The island of Sodor is home to Thomas, a sentient blue one of, for 10 points, what vehicles which run on rails and carry passengers?",railroad trains [or locomotives or steam engines or tank engines or sleepers or any other obvious equivalents]
2020 ERIS,5,2,"Downdrafts near the rear flank of one of these phenomena create a distinctive ""hook echo"" on Doppler radar. These phenomena regularly develop from mesocyclones of supercells, and the (*) Fujita scale quantifies their strength on a numerical scale from F0 to F5. For 10 points, name these funnel-shaped columns of air that can cause substantial property destruction when they touch down.","tornadoes [prompt on twisters or cyclones; prompt on supercells before mentioned by asking, ""What phenomena accompany such storms?""]"
