Source,Round,Number,Label,Question,Answer
2020 ERIS,1,6,A,Name this Japanese myth system. Its deities are known as kami and its shrines often feature gates called torii.,Shintoism
2020 ERIS,1,6,B,"Many Shinto shrines feature large examples of these objects, called shimenawa in Japanese, which are tied around areas in which kami are believed to reside. They are typically made of rice straw or hemp and can be several feet thick.",ropes
2020 ERIS,1,6,C,"A special shimenawa known as a tsuna is worn by yokozuna, the highest-ranked competitors in a Japanese form of this sport called sumo, during formal ceremonies in which they stomp demons out of the ring.",wrestling
2020 ERIS,1,7,L,"This poet is known for a collection in which he says ""Let my country awake."" For 10 points each:",
2020 ERIS,1,7,A,Name this poet who is best known for his collection Gitanjali. He also wrote the lyrics to the song “Jana Gana Mana”.,Rabindranath Tagore
2020 ERIS,1,7,B,"Tagore is from this country, where he was born in Kolkata and wrote in Bengali. Many novelists from this country write in either English or Hindi.",India [or Bhārat Ganarajya]
2020 ERIS,1,7,C,“Jana Gana Mana” is used as one of these songs in India. Other examples of these songs include “La Marseillaise” (mar-say-EZ) and “God Save the Queen”.,national anthems
2020 ERIS,1,8,L,"This organelle comes in ""rough"" and ""smooth"" forms. For 10 points each:",
2020 ERIS,1,8,A,Name this organelle which is continuous with the nuclear envelope. Both types of this organelle help with the synthesis of lipids.,endoplasmic reticulum [or ER]
2020 ERIS,1,8,B,"The rough endoplasmic reticulum is studded with these cell structures, which have small and large subunits and are the sites of translation.",ribosomes
2020 ERIS,1,8,C,"Ribosomes synthesize proteins based on codons, which are strings of this many DNA base pairs which encode a specific amino acid.",three
2020 ERIS,1,9,L,Albert Camus (al-BAIR cuh-MOO) wrote a philosophical essay titled for The Myth of this figure. For 10 points each:,
2020 ERIS,1,9,A,"Name this mythical king of Corinth who twice cheated Death. As punishment in Hades, Zeus condemned this man to the impossible task of rolling a boulder up a hill for eternity.",Sisyphus [or Sisyphos]
2020 ERIS,1,9,B,"In the opening scene of the film Raiders of the Lost Ark, this character escapes from a temple while being chased by a giant rolling boulder. This fedora-wearing archaeologist was played by Harrison Ford.","Indiana Jones [accept either underlined portion; accept Dr. Henry [Walton] Jones, Jr.; prompt on Henry alone; prompt on Indy]"
2020 ERIS,1,9,C,"This artist's song ""Like a Rolling Stone"" appears on his 1965 album Highway 61 Revisited. This Nobel laureate's other folk songs include ""Hurricane"" and ""The Times They Are A-Changin'.""",Bob Dylan [or Robert Allen Zimmerman]
2020 ERIS,1,10,L,"These phenomena were first discovered by the LIGO observatories in Hanford, Washington and Livingston, Louisiana. For 10 points each:",
2020 ERIS,1,10,A,Identify these disturbances in the curvature of spacetime. They are released as the energy from decaying orbits of two massive objects.,gravitational waves [or gravity waves; prompt on just waves]
2020 ERIS,1,10,B,"Gravitational waves were predicted in this man's general theory of relativity. This man is more well known for relating mass to energy in his equation e=mc^2 (""e equals m c squared"").",Albert Einstein
2020 ERIS,1,10,C,"The L in LIGO stands for this type of light-generating device, which was used in the experiment that discovered gravitational waves. These objects may undergo population inversion and create a beam of light through stimulated emission.",lasers
2020 ERIS,1,11,L,The world's largest KFC is located in this city's former Sabunçu railway station. For 10 points each:,
2020 ERIS,1,11,A,"Name this city located on the Absheron Peninsula, the capital of Azerbaijan.",Baku [or Bakı]
2020 ERIS,1,11,B,"Baku lies on this body of water, which is the largest lake in the world despite being called a ""sea"". The Volga flows into this body of water, which separates the Caucasus from Central Asia.","the Caspian Sea [or Xəzər dənizi, or Kaspiy dengizi, or Daryā-e Khazar]"
2020 ERIS,1,11,C,"Uzbekistan, a country on the eastern shore of the Caspian Sea, is a major producer of this crop. During the pre-war American South, slaves were often forced to work harvesting this crop on large plantations.",cotton
2020 ERIS,1,12,L,The third law of thermodynamics says that this value is a well-defined constant at absolute zero. For 10 points each:,
2020 ERIS,1,12,A,"Name this measure of ""disorder"" in a system. It is typically symbolized S.",entropy
2020 ERIS,1,12,B,"According to the second law of thermodynamics, the amount of entropy in a closed system must obey this general trend. A description is acceptable.","it increases [accept obvious equivalents and answers like ""it does not decrease""]"
2020 ERIS,1,12,C,"In statistical mechanics, entropy is equal to the log of the number of microstates times this man’s namesake constant, which is equal to about 1.38 times 10 -23 joules per kelvin. This scientist also co-names a distribution for particle speeds in gas with Maxwell.",Ludwig Boltzmann
2020 ERIS,1,13,L,"Answer these questions about the history of Tunisia, for 10 points each:",
2020 ERIS,1,13,A,"At the beginning of the Arab Spring, Mohamed Bouazizi performed this specific action in protest against the Tunisian dictatorship. The Vietnamese Buddhist monk Thích Quảng Đức (teek kwang deek) famously performed this action to protest the Vietnam War after covering himself in gasoline. A description is acceptable.","self-immolation [accept anything about lighting himself on fire; prompt on suicide or equivalent answers by asking ""in what manner did he kill himself?""]"
2020 ERIS,1,13,B,"Tunisia is also home to the ruins of this city, which was razed to the ground and its inhabitants sold into slavery after losing the Third Punic War to the Roman Empire. During the Second Punic War, its forces were led by Hannibal.",Carthage [or Carthago or Qrt-Hdšt or Qart-Ḥadašt]
2020 ERIS,1,13,C,"Cato the Elder, a member of the Roman Senate, argued for war with Carthage by ending all his speeches in the Roman senate with this specific phrase, regardless of whether it was relevant to the ongoing debate, for multiple years until war was eventually declared.","""Carthago delenda est"" [or ""Carthage must be destroyed"", or ""Ceterum autem censeo Carthaginem esse delendam"", or ""Furthermore, I consider that Carthage must be destroyed"", or other reasonable English translations like ""Carthage is to be destroyed""]"
2020 ERIS,1,14,L,"Benny Goodman, the ""King of Swing"", played this woodwind instrument. For 10 points each:",
2020 ERIS,1,14,A,"Name this single-reed woodwind instrument also played by Artie Shaw. Most professional players of this instrument must own two, one tuned to B-flat, the most common, and another tuned to A.",clarinet
2020 ERIS,1,14,B,The clarinet plays the opening glissando of this George Gershwin piece composed for solo piano and jazz band.,Rhapsody in Blue
2020 ERIS,1,14,C,"The clarinet was largely replaced in jazz ensembles by this iconic jazz instrument, typically featuring a U-bend and a tilted bell and made out of brass. It was played by stars such as Charlie Parker and Cannonball Adderley.","saxophone [accept alto saxophone, since Parker and Adderley both were primarily alto players, but also generously accept tenor saxophone]"
2020 ERIS,1,15,L,"Answer the following about the history of Argentina, for 10 points each:",
2020 ERIS,1,15,A,"This former Argentinian president was overthrown in a 1955 coup, only to return to power in 1973. His wife Eva was also a widely popular figure before her 1952 death.",Juan Domingo Perón
2020 ERIS,1,15,B,"Perón spent his exile in this country. This European country originally colonized Argentina, and its language is spoken there.","Kingdom of Spain [or the Spanish State, or el Reiño de España, or el Estada Español]"
2020 ERIS,1,15,C,"Juan Perón’s government was notorious for providing protection to members of this political party, such as Josef Mengele, fleeing prosecution for war crimes.","Nazi Party [or NSDAP, or the National Socialist German Worker's Party, or the Nationalsozialistische Deutsche Arbeiterpartei]"
2020 ERIS,1,16,L,The first humans to reach the summit of this peak were two Italians named Lino Lacedelli and Achille Compagnoni. For 10 points each:,
2020 ERIS,1,16,A,"Name this second-tallest mountain in the world. Found in the Karakoram range, this mountain is nicknamed ""the Savage Mountain"" because it is notoriously difficult to climb.",K2 [or Mount Godwin-Austen; accept Chogori]
2020 ERIS,1,16,B,"K2 is located at the border between China and this Muslim-majority country, in which Urdu is a lingua franca and Punjabi the most common first language.",Islamic Republic of Pakistan [or Islāmī Jumhūriyah Pākistān]
2020 ERIS,1,16,C,"The tallest mountain in the world, Mount Everest, is located in this other South Asian mountain range that lends its name to a type of pink salt. It forms the border between Nepal and China.",the Himalayas [accept Himalayan pink salt]
2020 ERIS,1,17,L,"This author's A Study in Scarlet introduced his most famous character, who works together with Dr. Watson. For 10 points each:",
2020 ERIS,1,17,A,"Identify this British author of novels and short stories such as ""The Final Problem"", in which the protagonist plunges to his death off the Reichenbach Falls along with his mortal enemy, Professor Moriarty.",Sir Arthur Conan Doyle
2020 ERIS,1,17,B,"Arthur Conan Doyle created this brilliant detective, the companion of Dr. Watson and enemy of Moriarty. He was played by Benedict Cumberbatch in a recent television adaptation of some of Doyle's stories.",Sherlock Holmes [accept either underlined portion]
2020 ERIS,1,17,C,"Public outcry after Holmes's apparent death in ""The Final Problem"" prompted Doyle to bring him back for this novel, in which Holmes and Watson investigate murders supposedly committed by a demonic animal in Dartmoor.","The Hound of the Baskervilles [do NOT accept or prompt on “The Hounds of Baskerville”— that’s an episode of the TV show Sherlock, not a novel]"
2020 ERIS,1,18,L,"During one of this general's campaigns, railroad ties were melted and twisted into loops to render them unusable. For 10 points each:",
2020 ERIS,1,18,A,"Name this US general who led a scorched-earth ""March to the Sea"" through Georgia during the Civil War.",William Tecumseh Sherman
2020 ERIS,1,18,B,"Sherman's March to the Sea began with the burning of this Southern city, the capital of Georgia.",Atlanta
2020 ERIS,1,18,C,"After the March to the Sea, Sherman issued Special Field Orders No. 15, which included orders to distribute land and farm animals to freed black families, as exemplified by this phrase which is often used as a slogan for slavery reparations.","""forty acres and a mule"""
2020 ERIS,1,19,L,These expressions can be simplified by factoring them. For 10 points each:,
2020 ERIS,1,19,A,Name these expressions which combine variables and coefficients using basic arithmetic operations. Quadratics and cubics are special cases of these expressions.,polynomials
2020 ERIS,1,19,B,This term refers to the largest exponent in a polynomial. The fundamental theorem of algebra says that a polynomial can have at most as many roots as this value for it.,degree
2020 ERIS,1,19,C,"A technique named for this man, his ""rule of signs"", can be used to find the number of positive real roots of a polynomial. This French mathematician is also the namesake of the standard coordinate plane.",René Descartes (day-CART) [accept the Cartesian plane]
2020 ERIS,1,20,L,The Talmud contains a number of tales of the wickedness and inhospitality of this city's inhabitants. For 10 points each:,
2020 ERIS,1,20,A,"Name this Biblical city. God said that he would only spare this city if ten righteous people can be found there. Along with Gomorrah, this city was destroyed by fire and brimstone.",Sodom
2020 ERIS,1,20,B,This figure's wife is turned into a pillar of salt for looking back at Sodom while fleeing the city with him and their daughters.,Lot
2020 ERIS,1,20,C,"The tales of Sodom and Gomorrah occur in this first book of the Bible, which also tells the story of the creation of the world and Noah's Ark.",Book of Genesis [or Bereshit]
2020 ERIS,2,1,L,"The Airbus A380, the largest passenger airplane in the world, underwent cold-weather testing in this territory's capital of Iqaluit. For 10 points each:",
2020 ERIS,2,1,A,"Name this northernmost territory of Canada, which separated from its Northwest Territories in 1993. It is the only Canadian province in which the majority language is neither English nor French.",Nunavut
2020 ERIS,2,1,B,"Indigenous people in Nunavut are some of the few populations in the world who still legally hunt these animals. These animals' bowhead and minke types are hunted, sometimes with instruments such as harpoons.",whales [accept any specific types of whales]
2020 ERIS,2,1,C,"Along with Yukon and the Northwest Territories, Nunavut is one of the three Canadian territories to border this northernmost ocean in the world. The North Pole is located on this ocean, much of which is covered in sea ice year-round.",the Arctic Ocean
2020 ERIS,2,2,L,Objects float if their value for this quantity is less than water's. For 10 points each:,
2020 ERIS,2,2,A,"Identify this quantity equal to the mass of an object divided by its volume, measured in units like kilograms per cubic meter. The ratio of this value for a substance to its value for water is called specific gravity.",density [accept specific mass]
2020 ERIS,2,2,B,"Objects that have a lower density than water tend to float due to this force. When an object is placed inside of a fluid, this force will push back against that object, and this force is proportional to the amount of displaced fluid.",buoyancy [accept buoyant force]
2020 ERIS,2,2,C,"This man formulated a namesake law of buoyancy which states that the upward force of buoyancy is equal to the weight of displaced fluid. Apocryphally, he proclaimed ""Eureka!"" after realizing that his understanding of buoyancy allowed him to detect counterfeit metals.",Archimedes of Syracuse
2020 ERIS,2,3,L,A 2019 mass shooting at a mosque in this country's city of Christchurch made headlines worldwide. For 10 points each:,
2020 ERIS,2,3,A,Name this country currently led by Jacinda Ardern from its capital of Wellington.,New Zealand [or Aotearoa]
2020 ERIS,2,3,B,"New Zealand is known as ""Aotearoa"" in the language of this indigenous Polynesian ethnic group, who fought each other in the Musket Wars and signed the Treaty of Waitangi in 1840 with British colonizers.",Māori
2020 ERIS,2,3,C,"In 2015 and 2016, New Zealand undertook a pair of referendums on whether it should take this specific action, with ""no"" being the eventual result. Mississippi announced in 2020 that it would take this action in order to remove Confederate symbolism. A description is acceptable.",changing the flag [accept any obvious equivalents; accept answers like getting rid of the current flag]
2020 ERIS,2,4,L,This character delivers a lecture on optimism after Lisbon is destroyed by an earthquake and fire. For 10 points each:,
2020 ERIS,2,4,A,"Name this philosopher from a 1757 Voltaire novel who repeatedly claims that he is living in ""the best of all possible worlds.""",Dr. Pangloss
2020 ERIS,2,4,B,"Pangloss appears in this novel by Voltaire subtitled ""Optimism"". Its title character rejects Pangloss's optimism in the face of numerous hardships.","Candide [accept Candide, or Optimism; accept Candide, ou l’Optimisme]"
2020 ERIS,2,4,C,"Voltaire was an author and philosopher from this country during the Enlightenment period. His remains are contained in the Panthéon, a monument in its capital, along with Victor Hugo and Alexandre Dumas, two other authors from this country.",France
2020 ERIS,2,5,L,"This composer said that he was ""forced to become original"" because he was employed by a wealthy family on a remote estate. For 10 points each:",
2020 ERIS,2,5,A,"Name this composer who wrote over 100 symphonies, including the Farewell, Surprise, and London symphonies. He is considered the father of both the symphony and the string quartet.",Joseph Haydn
2020 ERIS,2,5,B,"This other composer's Unfinished Symphony only has two movements. He wrote ""Death and the Maiden"" and the Rosamunde Overture and died at age 31 from typhoid fever or syphilis.",Franz Schubert
2020 ERIS,2,5,C,"Haydn and Schubert were both from this European country, whose cities of Salzburg and Vienna have produced several famous composers.",Austria [or Österreich]
2020 ERIS,2,6,L,"Answer the following about the political career of Franklin D. Roosevelt, for 10 points each:",
2020 ERIS,2,6,A,"Before becoming president, FDR served as governor of this state, where he led from its capital of Albany.",New York
2020 ERIS,2,6,B,"FDR was the running mate for James Cox in the 1920 presidential election, which Cox lost to this man who was later implicated in the Teapot Dome scandal.",Warren [Gamaliel] Harding
2020 ERIS,2,6,C,"In 1932, FDR defeated this man to become president. This president’s administration oversaw the beginning of the Great Depression, for which he was widely unpopular.",Herbert [Clark] Hoover
2020 ERIS,2,7,L,"In 2018, Kyrsten Sinema narrowly defeated Martha McSally in this state's U.S. Senate race. For 10 points each:",
2020 ERIS,2,7,A,Name this state where former congresswoman Gabby Giffords was shot in Tucson in 2011.,Arizona
2020 ERIS,2,7,B,"Despite McSally's loss in the election, she would be appointed to the Senate two months later after this long-time Arizona senator and 2008 Republican presidential candidate died of brain cancer.",John [Sidney] McCain [III]
2020 ERIS,2,7,C,"In 2020, McSally lost in a special election against this Democrat, a former astronaut and the husband of Gabby Giffords.",Mark [Edward] Kelly
2020 ERIS,2,8,L,"The presence of the Rh factor protein determines whether humans have a ""positive"" or ""negative"" type of this trait. For 10 points each:",
2020 ERIS,2,8,A,"Name this trait determined by which of two antigens, or both or neither, are found on the surface of certain cells.",blood type [or blood group]
2020 ERIS,2,8,B,"The antigens that determine blood type can be found on red blood cells, which carry oxygen from the lungs and this gas to the lungs. Humans exhale this gas, which has the formula CO2 .",carbon dioxide [accept CO2 before mentioned]
2020 ERIS,2,8,C,"People with this blood type are known as ""universal donors"" because, in blood transfusions, blood of this type can be given to anyone, regardless of what blood type the recipient has.","O- [or O negative or O minus; prompt on O; do not accept or prompt on ""O+"" or “O positive” or “O plus”]"
2020 ERIS,2,9,L,Alternating light and dark bands on these objects are called ogives. For 10 points each:,
2020 ERIS,2,9,A,"Identify these large structures which often form in polar regions and high mountain ranges. Their movement can leave moraines, eskers, and other geological formations.",glaciers
2020 ERIS,2,9,B,Glaciers are primarily comprised of this substance. Climate change has caused some glaciers to shrink in size as this substance melts into water and flows away.,ice
2020 ERIS,2,9,C,"These large boulders are a common feature of the landscape in regions historically covered by glaciers. They can weigh hundreds of tons, and are deposited by retreating glaciers which picked them up during their advance.",glacial erratics
2020 ERIS,2,10,L,This literary movement's works include William S. Burroughs's Naked Lunch. For 10 points each:,
2020 ERIS,2,10,A,"Name this literary ""generation"" that included Jack Kerouac and the author of the poem ""Howl,"" Allen Ginsberg.",Beat Generation [accept Beatniks]
2020 ERIS,2,10,B,"Ginsberg's ""A Supermarket in California"" mentions seeing this poet ""eyeing the grocery boys."" This poet wrote ""I Sing the Body Electric"", ""Crossing Brooklyn Ferry"", and ""O Captain! My Captain!"".",Walt Whitman
2020 ERIS,2,10,C,Whitman’s “O Captain! My Captain!” was an elegy to this president who led the U.S. through the Civil War.,Abraham Lincoln [or Abe Lincoln]
2020 ERIS,2,11,L,"The Ancient Greeks referred to the Straits of Gibraltar as the ""Pillars"" of this hero. For 10 points each:",
2020 ERIS,2,11,A,"Name this hero whom Eurystheus tasked with performing twelve seemingly impossible labors, such as cleaning the Augean Stables.",Heracles [or Hercules]
2020 ERIS,2,11,B,"Heracles' first task was to kill this beast, whose golden fur was impervious to all weapons. He defeated it by strangling, and used its fur as his armor.",the Nemean Lion [prompt on lion]
2020 ERIS,2,11,C,"Another of Heracles' labors was to kill this many-headed serpent, which would grow multiple additional heads whenever one was chopped off. He slew it by burning the stumps after beheading it so they couldn't regrow.",the Lernean Hydra
2020 ERIS,2,12,L,This character saves his wife Sita from the demon Ravana. For 10 points each:,
2020 ERIS,2,12,A,"Name this title character of a Hindu epic, the seventh avatar of Vishnu. He teams up with the monkey Hanuman to rescue his wife.",Rama [or Ram or Ramachandra]
2020 ERIS,2,12,B,"The Ramayana is from this country, where it was originally written in Sanskrit. This largest Hindu-majority country is also the origin of the Mahābhārata.",India [or Bhārāt]
2020 ERIS,2,12,C,"The island kingdom of Ravana in the Ramayana is often identified with this island to the southeast of India, with which it shares a name. This island was formerly known as Ceylon by the British.",Sri Lanka
2020 ERIS,2,13,L,"Cosmo Hill, the orphaned protagonist of this man's book The Supernaturalist, is named for the street on which he was abandoned. For 10 points each:",
2020 ERIS,2,13,A,"Name this Irish author who also wrote And Another Thing..., a sequel to Douglas Adams's Hitchhiker's Guide to the Galaxy series. He is best known for a sci-fi/fantasy series whose title character discovers a race of technologically-advanced fairies.",Eoin Colfer
2020 ERIS,2,13,B,"This supergenius is the title character of that Eoin Colfer series. He is assisted by his bodyguard, Butler, and in the first book of the series he kidnaps the elf policewoman Holly Short in an attempt to extract a ransom of gold.",Artemis Fowl II [accept either underlined portion]
2020 ERIS,2,13,C,"In Artemis Fowl and the Arctic Incident, Artemis rescues his father, who was held captive by an organized crime group in this country’s far-northern port city of Murmansk, one of the few major cities on the northern coast of this massive country which contains the sparsely populated region of Siberia.","Russia [or the Russian Federation, or Rossiya]"
2020 ERIS,2,14,L,The television series Castle Rock is based on several of this man's short stories and novels. For 10 points each:,
2020 ERIS,2,14,A,Name this American horror writer who described Jack Torrance's descent into madness in his novel The Shining. He also wrote Cujo (cue-joe) and It.,Stephen King [or Stephen Edwin King]
2020 ERIS,2,14,B,"This 1986 film was adapted from King’s novella The Body, and sees four boys in Castle Rock, Oregon hike into the woods to find the body of a missing boy. Its stars included Wil Wheaton and River Phoenix.",Stand By Me
2020 ERIS,2,14,C,"Alice Munro, an author from this country, included stories like ""No Advantages"" in her book The View from Castle Rock. In another short story from this country, ""The Hockey Sweater"", a young boy is distraught when he is mistakenly shipped a Maple Leafs hockey jersey.",Canada
2020 ERIS,2,15,L,This chef brought many items to his interview on Hot Ones to combat spiciness such as lemon and lime juice. For 10 points each:,
2020 ERIS,2,15,A,"Name this celebrity chef, the host of Hell's Kitchen and Kitchen Nightmares, who is known for his fiery temper and expletive-laden outbursts.",Gordon Ramsay
2020 ERIS,2,15,B,"On Hot Ones, host Sean Evans and Ramsay ate ten spicy wings of this animal. Buffalo, New York is the home and namesake of a popular style of preparing this animal's wings.",chicken
2020 ERIS,2,15,C,"During the interview, Ramsay shouted out Alexander Weiss, the winner of the first American installment of this cooking competition for children. Ramsay has been a judge for this competition for seven seasons, as well as its adult counterpart.",MasterChef Junior [accept Junior MasterChef; prompt on MasterChef]
2020 ERIS,2,16,L,Georg Cantor showed that ℵ0 (aleph-null) was the cardinality of the smallest sets with this property. For 10 points each:,
2020 ERIS,2,16,A,"Name this property of sets that contain more elements than the value of any integer and can be said to go on ""forever"". It is represented by a symbol resembling a sideways eight.","infinite [accept equivalent word forms, such as infinity]"
2020 ERIS,2,16,B,"Cantor proved that this set of numbers is not countably infinite, making it a ""larger"" infinity than the set of integers. This set contains all the numbers on the number line, including rational and irrational numbers, and is represented with a double-struck R.",real numbers
2020 ERIS,2,16,C,A thought experiment attributed to David Hilbert explains the equivalence of seemingly differently-sized infinite sets by considering one of these buildings with an infinite number of rooms and showing that it can accommodate more people even if every room is full.,hotels [accept Hilbert's [Grand] Hotel]
2020 ERIS,2,17,L,This nation was the birthplace of Pope John Paul II. For 10 points each:,
2020 ERIS,2,17,A,"Name this European country whose longest river, the Vistula, runs through its capital of Warsaw.",Republic of Poland [or Rzeczpospolita Polska]
2020 ERIS,2,17,B,"Poland borders this large Northern European sea, which also borders countries like Estonia and Latvia. The Kiel Canal connects this sea to the North Sea, and the Øresund (OE-ah-sohn), a strait separating Denmark and Sweden, connects it to the Kattegat.",Baltic Sea
2020 ERIS,2,17,C,"The city of Częstochowa (CHEN-stuh-KHO-vah) in southern Poland is a famous Catholic pilgrimage site thanks to its “Black” painting of this figure. A shrine in Fátima, Portugal marks a location where this figure supposedly appeared to three children.","the Madonna [or the Virgin Mary, or Our Lady of Częstochowa, or Our Lady of Fátima]"
2020 ERIS,2,18,L,"A palace in this city contains portraits of all of its rulers except one, whose portrait was replaced by a black sheet as punishment for treason. For 10 points each:",
2020 ERIS,2,18,A,Name this Italian city at the end of the Adriatic Sea which was a merchant republic ruled by doges such as Enrico Dandolo and dominated Mediterranean commerce for centuries.,"the Most Serene Republic of Venice [or Venezia, or La Serenissimà]"
2020 ERIS,2,18,B,"The island of Murano, north of the main island of Venice, is renowned for its historical leadership in the production of this good. The Venetian government ordered all the manufacturers of this material to move to Murano in 1291, fearing that their furnaces would cause fires.",glass
2020 ERIS,2,18,C,"Venice contains hundreds of these artificial waterways, which are traversed by boats such as gondolas. The ""Grand"" one of these waterways divides Venice in half.",canals
2020 ERIS,2,19,L,Dmitri Mendeleev (men-duh-lay-ev) claimed to have developed this construct based on a vision he had in a dream. For 10 points each:,
2020 ERIS,2,19,A,Name this construct which organizes the building blocks of chemistry into rows and columns based on atomic weight and electron configuration. It currently has seven full rows comprising 118 entries.,periodic table of the elements
2020 ERIS,2,19,B,"These elements make up most of the center and left of the periodic table. They are typically grey in color, conduct electricity, and can be combined to form alloys. Examples include titanium and cobalt.",metals
2020 ERIS,2,19,C,These two sections of the periodic table are not classified into any of the 18 columns; instead they are typically offset into two separate rows under the rest of the table. Name either.,lanthanides OR actinides
2020 ERIS,2,20,L,The Rashidun caliphate spread Islam throughout much of the Middle East. For 10 points each:,
2020 ERIS,2,20,A,"The caliphate was mostly composed of tribes of this ethnic group. Egypt, Iraq, and Algeria have large populations of this ethnic group, for which the peninsula containing Oman and Yemen is also named.",Arabs [generously accept word forms like Arabic or Arabian]
2020 ERIS,2,20,B,"The caliphate conquered Syria and the Levant region from this empire, ruled by Heraclius at the time. This empire was also known as the Eastern Roman Empire and was led from Constantinople.",Byzantine Empire [accept Byzantium]
2020 ERIS,2,20,C,"Following a civil war, the Rashidun Caliphate was replaced by a caliphate led by this dynasty, which eventually established itself in Spain even after its overthrow by the Abbasids.","the Umayyads [or al-ʾUmawīyūn, or Banū ʾUmayyah]"
2020 ERIS,3,1,L,"A distributed computing project called ""[this process] @home"" attempts to study how this process occurs. For 10 points each:",
2020 ERIS,3,1,A,"[10] Name this process that forms the three-dimensional structure of macromolecules such as insulin and hemoglobin. In it, long chains of peptides are assembled into complex shapes.",protein folding
2020 ERIS,3,1,B,[10] Protein folding begins with this level of protein structure which refers to its sequence of amino acids. This level precedes the secondary and tertiary structures.,primary structure
2020 ERIS,3,1,C,"[10] Mistakes in protein folding can lead to the formation of these misfolded proteins, which can cause neurodegenerative diseases such as mad cow disease or Creutzfeldt-Jakob (CROYTS-felt YAH-kub) syndrome.",prions
2020 ERIS,3,2,L,One painter from this country created The Night Watch. For 10 points each:,
2020 ERIS,3,2,A,"[10] Name this country home to artists like Rembrandt van Rijn (van RINE), who moved from Leiden to its capital of Amsterdam.",the Netherlands [or Nederland; accept Holland]
2020 ERIS,3,2,B,[10] This Dutchman depicted his hometown in his View of Delft. He also created The Milkmaid and Girl with a Pearl Earring.,Jan Vermeer
