Source,Round,Number,Question,Answer
2020 TAILS,1,13,"After one account of this practice, a “voice from heaven” praises a figure with whom it is “well pleased.” Most Christian denominations agree that this practice cleanses one of original sin. A son of Elizabeth with a title referring to this practice performed this action on Jesus in the (*) Jordan River. For ten points, name this Christian religious practice often performed by sprinkling or pouring water on the head.",baptism
2020 TAILS,1,14,"This civilization’s rituals were collected in the Books of Chilam Balam. Pakal the Great was a ruler of this civilization, whose myths of the Hero Twins are in the Popol Vuh (PAH-pul-woo). This civilization’s (*) Long Count calendar was misinterpreted as predicting the end of the world to be in December 2012. For 10 points, name this Mesoamerican civilization that controlled cities like Tikal and Chichen Itza.",Mayan civilization [or the Mayans]
2020 TAILS,1,15,"In this movie, a character shakes a cat off a tree before using that tree to stop a robber’s car in its tracks. One character in this movie rants about the consequences of capes, and another creates the alter ego Syndrome after being told to “go home.” In this movie, a superhero (*) family emerges from hiding to stop a robot from destroying their city. For ten points, name this 2004 Pixar movie featuring characters like Frozone, Dash, and Elastigirl.",The Incredibles
2020 TAILS,1,16,"In this play, soldiers hiding behind tree branches fulfill a prophecy by making Great Birnam (BURN-um) Wood meet Dunsinane (DUHN-sin-ayn) Hill. This play’s title character, a friend of Banquo, is called a thane by three witches. A superstition holds that this play’s name is cursed, so this play is instead called “The (*) Scottish Play” by actors in theaters. Macduff kills the title character in, for ten points, what play about the title Scottish king’s murder of King Duncan?",Macbeth [or The Tragedy of Macbeth]
2020 TAILS,1,17,"This composer’s four playful horn concertos were written for Joseph Leutgeb. This composer’s “Little” and “Great” G minor symphonies are the only two in a minor key of this composer’s 41 symphonies. Piano beginners might learn this composer’s sixteenth Piano (*) Sonata, or his variations on the song “Twinkle Twinkle Little Star.” For ten points, name this Austrian Classical-era composer of Eine Kleine Nachtmusik (AI-nuh KLAI-nuh nokt-MOO-sik).",Wolfgang Amadeus Mozart
2020 TAILS,1,18,"Walter Pitman argued that the Biblical flood myth could have originated from a rapid rise in sea level of this body of water. This body of water connects to the Sea of Marmara through the Bosphorus, right next to the city of Istanbul. The city of Sevastopol lies on the shores of this body of water on the (*) Crimean Peninsula. For ten points, what sea lies south of Ukraine and north of Turkey, possibly named for the dark shadows its storms cast over the water?",Black Sea
2020 TAILS,1,19,"Despite suffering from dysentery, this leader commanded a successful retreat during the Braddock Expedition. As a young officer in the British army, this leader surrendered Fort Necessity during the French and Indian War. This leader led an attack against sleeping (*) Hessian troops in the Battle of Trenton after crossing the Delaware River. For ten points, name this leader of the Continental Army who became the first President of the United States.",George Washington
2020 TAILS,1,20,"These particles theoretically decay into a neutral pion (PIE-on) and a positron and are the heaviest product of beta-minus decay. This particle added to a water molecule forms the hydronium ion. The letter Z symbolizes the number of these particles in an element, known as the (*) atomic number. For ten points, name these subatomic particles which share the nucleus with neutrons and which are positively charged.",protons
2020 TAILS,2,1,"The income effect describes how this quantity changes with real income. On a graph of price versus quantity of product, the curve for this variable slopes downward. In the labor market, businesses provide this variable. This variable is the amount of a good that (*) consumers are willing to purchase. For ten points, name this quantity that, in economics, is used to explain price along with supply.",demand [or quantity demanded]
2020 TAILS,2,2,"One work by a composer with this last name is played by string instruments without bows and is called the Pizzicato Polka. The movie 2001: A Space Odyssey featured music by two composers of this last name, including one with a rising C-G-C motif titled Also Sprach Zarathustra and another titled The (*) Blue Danube Waltz. For ten points, give the last name of the Austrian composer Johann and the German composer Richard.",Strauss [accept Richard Strauss or Johann Strauss II “the Younger”; do not accept or prompt on Johann Strauss I]
2020 TAILS,2,3,"A prophecy in a play about this character foretells that he will die in a grove sacred to the Furies. Another play about this character “at Colonus” follows the play Antigone (an-TI-guh-nee) chronologically and describes his life after he stabs his eyes out with pins from his mother’s dress. This character marries his (*) mother Jocasta in the first of Sophocles’ Theban Trilogy. The Sphinx’s riddle about man was solved by, for ten points, what Greek hero, the namesake of an incestual “complex”?",Oedipus [accept Oedipus Rex or Oedipus the King or Oedipus at Colonus or Oedipus Coloneus]
2020 TAILS,2,4,"This type of electromagnetic radiation is used to determine molecular structures in a form of crystallography. Wilhelm Röntgen (RENT-guhn) discovered this type of radiation. Lead aprons are often used to protect from overexposure to this radiation, which has a wavelength between that of (*) gamma rays and ultraviolet rays. For ten points, name this form of electromagnetic radiation commonly used in medical imaging to show bones.",X-rays [accept Röntgen radiation before mention]
2020 TAILS,2,5,"The last words of one person attempting to reach this location were “I'm just going outside and may be some time.” The Endurance and Nimrod expeditions to reach this location were captained by Ernest Shackleton. After attempting to use horses to reach this location, Robert Smith was beaten to this location by the Norwegian explorer Roald (*) Amundsen. For ten points, name this location near the center of Antarctica..",the South Pole [prompt on Antarctica]
2020 TAILS,2,6,"In Norse mythology, Idun (EE-thun) keeps some of these objects that grant eternal youth to the gods. Aphrodite gave Melanion three of these objects to distract Atalanta so that he could win a race and marry her. Eris, the goddess of discord, threw one of these objects labeled “To the (*) Fairest” between Athena, Aphrodite, and Hera during a wedding. For ten points, name these magical fruits guarded by the dragon Ladon in the Garden of the Hesperides.",golden apples [or the Golden Apples of the Hesperides]
2020 TAILS,2,7,"A monument in this city features a Stone of Hope emerging from a Mountain of Despair in memory of Martin Luther King. The Three Soldiers statue stands next to this city’s Maya Lin-designed Vietnam Veterans Memorial. Most of the Smithsonian museums lie on this city’s National Mall, whose ends contain the (*) Washington Monument and the Lincoln Memorial. For ten points, name this capital city of the United States.","Washington, DC [or Washington, District of Columbia; accept District of Columbia]"
2020 TAILS,2,8,"A player for this team pitched a perfect game on Mother’s Day 2010. During the 1970s, this team won three consecutive championships with star player Reggie Jackson. This team’s revolutionary use of sabermetrics was the subject of a book by Michael Lewis, which later became a movie starring Brad Pitt. That movie is (*) Moneyball. For ten points, name this American League West team that plays in the Oakland Coliseum.","Oakland A’s [or Oakland Athletics, accept Oakland before “Oakland” is read]"
2020 TAILS,2,9,"This phase is depicted to the left of the triple point in phase diagrams. This phase is the starting phase of sublimation and the ending phase of deposition. The atoms in objects in this phase can be ordered in a lattice or in an irregular, “amorphous” manner. Most (*) metals are in this phase at standard temperature and pressure. For ten points, name this phase of matter whose atoms move less than those of liquids and gasses.",solids
2020 TAILS,2,10,"Marcus Agrippa helped this ruler win his greatest naval battle. This ruler begged Quintilius Varus to return his legions after the Battle of Teutoburg Forest. This emperor, Marc Antony, and Lepidus formed the Second Triumvirate. This emperor created the Praetorian Guard and defeated (*) Cleopatra and Marc Antony at the Battle of Actium. For ten points, name this first Roman emperor, the adopted son of Julius Caesar.",Gaius Julius Caesar Augustus [accept Octavian or Gaius Octavius Thurinus]
2020 TAILS,2,11,"A character in this novel attends Father Mapple’s sermon in New Bedford after sleeping with a stranger at Spouter’s Inn. The harpooneer Queequeg assists a character in this novel who claims a gold coin nailed to a (*) ship’s mast after spotting the title creature. “Call me Ishmael” is the first line of, for ten points, what Herman Melville novel about Captain Ahab’s hunt for a giant white whale?",Moby-Dick
2020 TAILS,2,12,"During this war, Margaret of Anjou led forces defeated at the Battle of Tewkesbury. One king in this war imprisoned Edward V before being defeated at the Battle of Bosworth Field. This war ended with the establishment of the (*) Tudor dynasty by Henry VII. For ten points, what English civil war was fought between Lancasters and Yorks, who were represented by namesake white and red flowers?",Wars of the Roses
2020 TAILS,2,13,"BepiColombo is a mission that is set to send a satellite to this planet by 2025. This planet is tidally locked with the Sun in a 3:2 spin-orbit resonance and features the Caloris basin. This planet that was visited by the Messenger spacecraft is the second hottest planet in the solar system and, like the hottest planet Venus, it has (*) no moons. This rocky planet is the smallest in the solar system. For ten points, name this closest planet to the sun.",Mercury
2020 TAILS,2,14,"Climbers traditionally stop just short of the peak of a mountain in this range named for five treasures, which is called Kangchenjunga. A majority of the so-called “Eight Thousanders” are in this young range. (*) Tenzing Norgay accompanied Edmund Hillary in climbing a mountain in this range “because it’s there”. For ten points, what mountain range contains Mount Everest, the tallest mountain in the world?",Himalayas [or Himalayan Mountains]
2020 TAILS,2,15,"According to the Dead Sea Scrolls, ophanim are a class of these beings that look like wheels of a chariot with multiple eyes on the rims. Cherubim and seraphim are high-ranking classes of these beings. In the Annunciation, one of these beings called (*) Gabriel told Mary that she would be the mother of Jesus. For ten points, name these holy beings often depicted in religious images with white wings and a halo.",angels [accept archangels]
2020 TAILS,2,16,"This virus in the family orthomyxoviridae has hemagglutinin and neuraminidase glycoproteins on its surface, which is why strains of this virus are classified with H and N numbers. An H1N1 variant of this virus was named for its resemblance to viruses found in (*) pigs, and there are different vaccines for the new strains of this disease that emerge each year. For ten points, name this virus which has avian, swine, and Spanish varieties.",influenza [accept the flu or avian flu or swine flu or Spanish flu]
2020 TAILS,2,17,"During this president’s tenure, the CIA launched Operation Mongoose in the wake of a failed invasion this leader ordered. That invasion at the Bay of Pigs was advised by this president’s brother and attorney general, Robert. This president imposed a naval blockade of Cuba and resolved the resulting (*) Cuban Missile Crisis. For ten points, name this U.S. President who was assassinated on November 22, 1963 by Lee Harvey Oswald.",John F. Kennedy [or John Fitzgerald Kennedy or Jack Kennedy or JFK]
2020 TAILS,2,18,"A Wes Anderson movie using this specific filmmaking technique depicts canines exiled to a massive trash island and is titled Isle of Dogs. Another movie created in this style was directed by Tim Burton and follows Jack Skellington, the pumpkin king of Halloweentown; that movie is The Nightmare Before Christmas. (*) For ten points, name this animation technique where the camera is repeatedly stopped and started to make figures appear like they are moving.",stop-motion animation [accept claymation; prompt on animation by asking “Which specific technique?”]
2020 TAILS,2,19,"In one of this author’s plays, a man was found as a baby in a handbag at Victoria Station. In that play by this author, both Algernon Moncrieff (mon-CREEF) and Jack Worthing both pretend to have the title name. This author of (*) The Importance of Being Earnest wrote a novel about a portrait that decays and ages while the title character remains young and attractive. For 10 points, name this Irish author of The Picture of Dorian Gray.",Oscar Wilde [or Oscar Fingal O'Flahertie Wills Wilde]
2020 TAILS,2,20,"An event in this city led to the blinding of Indonesian journalist Veby Mega Indah, and was partially inspired by lack of political change following the Umbrella Revolution. Protesters in this city sought the resignation of Carrie Lam. Protests in this city were sparked by a bill that would have allowed (*) extradition to Taiwan and mainland China. For ten points, name this special administrative region of China.",Hong Kong [accept HKSAR or Hong Kong Special Administrative Region of the People’s Republic of China; prompt on People’s Republic of China or Zhongguo or Zhōnghuá Rénmín Gònghéguó]
2020 TAILS,3,1,"Both strontium and lithium burn this color in a flame test, and litmus paper turns this color in the presence of acids. This color on the longer-wavelength end of the visible light spectrum names an allotrope of phosphorus used in matches. In the NFPA safety diamond, the number in this color’s section indicates the (*) flammability of a substance. For ten points, name this color, which is a primary color along with yellow and blue.",red [accept specific shades of red]
2020 TAILS,3,2,"In one painting by this artist, infants Jesus and John the Baptist hold birds, and in another two bored-looking angels look up at the central figure. This artist of Madonna and the Goldfinch and Sistine Madonna created a work where Euclid and Pythagoras lounge on steps in the foreground. That work also depicts (*) Plato pointing at the sky and Aristotle pointing at the earth. For ten points, name this Renaissance artist of The School of Athens.",Raphael [or Raffaello Sanzio da Urbino]
2020 TAILS,3,3,"Robert the Bruce was mythically inspired by one of these animals to keep fighting the English. In Akan (uh-KON) folklore, the trickster god and master of all stories takes the form of one of these animals and is named Anansi. A woman was punished for her skillfully woven depictions of the gods’ abuse by being turned into one of these animals by (*) Athena. Arachne was turned into, for ten points, what kind of eight-legged critter?",spider
2020 TAILS,3,4,"One scandal during this war involved the distribution of ""embalmed beef"" to troops. Coupled with yellow journalism, the aftermath of the explosion of the USS Maine in Havana Harbor is considered to be the cause of this war. Theodore Roosevelt led the Rough Riders at the Battle of (*) San Juan Hill during, for ten points, what ""splendid little war"" in 1898 between an Iberian and North American nation?",Spanish-American War
2020 TAILS,3,5,"The Giant Impact theory of how this object was created states that a Mars-sized object called Theia slammed into the newly-formed Earth. Dark-colored craters on this object are called maria, or seas - one of those is the Sea of (*) Tranquility. This object’s rotation is locked with Earth’s, which is why we only see its “dark side.” The Apollo 11 mission was the first mission to visit, for ten points, what object that revolves around the Earth?",Earth’s moon [accept Luna]
2020 TAILS,3,6,"Double fertilization is used by organisms that produce these structures. Those organisms, angiosperms, produce parts of these structures in multiples of 3 when monocots and multiples of 4 or 5 when dicots. These structures contain the carpel and the (*) stamen, and may contain nectar to attract animals and promote pollination. For ten points, name these colorful reproductive organs of plants like tulips, daisies, and roses.",flowers [accept fruits until “multiples of 3”; prompt on plants]
2020 TAILS,3,7,"The oil field of Statfjord (stat-FYORD) lies in this sea, east of the Shetland Islands. The largest helicopter port in the world lies on the shore of this body of water in Aberdeen. Oil found under this body of water is responsible for Norway’s large sovereign wealth fund. The English Channel connects this sea to the (*) Atlantic. For ten points, what rough sea named after a cardinal direction is between continental Europe, Scandinavia, and Britain?",North Sea
2020 TAILS,3,8,"This country was ruled by the Qajar (kuh-jer) Dynasty, which was overthrown in the White Revolution. After this country's eponymous revolution, the failed Operation Eagle Claw attempted to free 66 American diplomatic hostages. Those hostages were held for 444 days after an attack on the US (*) embassy from students under Ayatollah Khomeini. For ten points, name this country led by Hassan Rhouani from Tehran.",Iran [or the Islamic Republic of Iran]
2020 TAILS,3,9,"George Miller studied this facility, which he proposed has a capacity of seven plus or minus two. The prenatal form of this facility is key to maternal attachment. Walking through a doorway creates an event boundary and files away parts of this facility, which may result in the temporary (*) amnesia of why you walked into a room. Aging is correlated with loss of, for ten points, what mental facility that allows for remembering information?",memory [accept short-term memory]
2020 TAILS,3,10,"This character lost two fingernails on his right hand after escaping from a gang of Snatchers and claiming to be Stan Shunpike. This character pays a friend back for a pair of Omnioculars with leprechaun gold that later disappears. This character owned a pet (*) rat named Scabbers and is often teased by Fred and George, two of his five older brothers. Hermione Granger ends up marrying, for ten points, what red-haired best friend of Harry Potter?",Ronald Bilius Weasley [prompt on Weasley]
2020 TAILS,3,11,"One figure in this book is promised that his descendants will inherit land ""from the river of Egypt to the great river, the river Euphrates."" Isaac is born to Sarah in this book after Abram is renamed to Abraham and makes a covenant with God. In Chapter One of this book, God says (*) “Let there be light” while creating the universe in six days. Abraham and Noah feature in, for ten points, what first book of the Old Testament in the Bible?",Book of Genesis [prompt on Old Testament; prompt on Bible]
2020 TAILS,3,12,"The antagonist of this novel fulfills a threat of “I will be with you on your wedding night” by killing Elizabeth. The frame narrative of this Gothic novel is a series of letters that Robert Walton sends to his sister Margaret from the (*) North Pole, where Victor had chased his creation. For ten points, name this Mary Shelley novel about the title scientist, who makes a humanoid creature from discarded body parts.",Frankenstein; or the Modern Prometheus
2020 TAILS,3,13,"Buildings designed by Mary Colter near this feature include Hermit’s Rest and Hopi House. The one-armed Army major John Wesley Powell led the first American expedition to this feature’s base. This feature, which has North and South Rims, was formed by erosion from the (*) Colorado River. For ten points, name this mile-deep canyon in Arizona.",the Grand Canyon [or Grand Canyon National Park]
2020 TAILS,3,14,"The sum of reciprocals of squares of the natural numbers is equal to this number squared over 6. Since this number is the inverse cosine of -1, it is the number of radians in 180 degrees. Euler’s (OY-lerz) identity states that e to the power of this number times i equals -1, and this number is the (*) area of a circle with a radius of 1. For ten points, name this number equal to a circle's circumference over its diameter, approximately equal to 3.14.",pi
2020 TAILS,3,15,"During periods of waning power of empires centered on this city, it was ruled by Kassites. A king of this city destroyed the First Temple in Jerusalem and initiated the captivity of Jews in this city. That king, Nebuchadnezzar, ruled over a thousand years after a ruler of this city who created a well-preserved law code, (*) Hammurabi. For ten points, name this city that once contained extensive hanging gardens.",Babylon
2020 TAILS,3,16,"In an episode of this show, Suzie recites Planck’s (plonkz) constant to help the central group crack a code. In this show, Robin confesses that she is lesbian to a fellow employee at Scoops Ahoy named Steve Harrington. While biking home from a (*) Dungeons & Dragons session in this show’s first episode, Will is kidnapped and taken into the Upside Down. Millie Bobby Brown stars as Eleven in, for ten points, what Netflix science fiction show?",Stranger Things
2020 TAILS,3,17,"In a story by this author, the former safecracker Jimmy Valentine saves a child from a locked vault. In another story by this author of “A Retrieved Reformation,” a character has only $1.87 to buy her husband a Christmas present. In that story by this author, Jim sells his (*) watch to buy combs while Della sells her hair to buy a watch chain. For ten points, name this author of “The Gift of the Magi” who was famous for stories with twist endings.",O. Henry [or William Sydney Porter]
2020 TAILS,3,18,"A type of “pumping” is often used in these devices to raise electrons’ energy levels, which helps these devices produce population inversion in their gain media. These devices produce coherent, or phase-synchronized, radiation. These devices are named for an (*) acronym about their stimulated emission of light radiation. For ten points, name these devices that produce the red light in barcode scanners.",lasers [or light amplification by stimulated emission of radiation]
2020 TAILS,3,19,"This leader gave the name Second Polish War to his invasion of Russia, which included the Battle of Borodino. After losing the War of the Sixth Coalition, this general, who had previously won the Battle of Austerlitz, was exiled to Elba. This leader was more famously exiled afterwards to the island of (*) Saint Helena after losing a battle to the Duke of Wellington. For ten points, name this French leader who lost the Battle of Waterloo.",Napoleon Bonaparte [accept Napoleon I]
2020 TAILS,3,20,"Waldstein, Appasionata, and Les Adieux (layz ah-DYOO) are among the 32 sonatas for this instrument by Beethoven, whose fifth concerto for it is nicknamed Emperor. Another Beethoven work for this instrument was inspired by a view at Lake Lucerne; that work is the (*) Moonlight Sonata. For ten points, what keyboard instrument has black and white keys?",piano [or pianoforte]
2020 TAILS,4,1,"Some of these organisms have heat-sensitive pits in their heads that they use to hunt warm-blooded prey. The lower part of these organisms’s jaw is not connected to the top, which allows them to eat prey bigger than their head. These organisms that use their tongues to detect smell can kill through (*) constriction or through injection of venom into the prey. For ten points, name these slithery reptiles like cobras and pythons.",snakes
2020 TAILS,4,2,"When this character leaves an inn without paying, one of his companions is wrapped up in a blanket and tossed in the air. This character, who is defeated by the Knight of the White Moon, rides the horse Rocinante and loves Dulcinea. (*) Sancho Panza serves as squire to, for ten points, what bumbling knight-errant in a Miguel de Cervantes novel, who attacks windmills that he believes to be giants?",Don Quixote [accept The Ingenious Gentleman Don Quixote of La Mancha or El ingenioso hidalgo Don Quijote de la Mancha]
2020 TAILS,4,3,"Richard Rogers designed a building in this city with elevators, staircases, water pipes, and other services on the outside; that is Lloyd’s Building. This city is the site of a Renzo Piano-designed skyscraper known as The Shard. After a fire in this city, Sir Christopher Wren rebuilt many buildings in it, including (*) St. Paul’s Cathedral and the Royal Chelsea Hospital. For ten points, name this city home to Big Ben and Westminster Abbey.",London
2020 TAILS,4,4,"This man was the US Minister to Sweden and France simultaneously. This man used the pseudonym “Silence Dogood” in a series of letters to The New England Courant before becoming the first US Postmaster General. This author of Poor (*) Richard’s Almanac urged colonial cooperation with a cartoon captioned “Join or Die.” For ten points, name this Founding Father who appears on the $100 bill and experimented with a key and a kite.",Benjamin Franklin
2020 TAILS,4,5,"The first process for making this substance was developed by Cai Lun (tsai loon) during the Han dynasty. Cotton fibers can be used to make this substance stronger and more durable. In modern times the Kraft process creates (*) pulp, which is turned into this substance. Ancient civilizations pounded strips of wood into sheets to make a substance similar to this one, papyrus. For 10 points, name this fibrous substance that is often written on.",paper [prompt on papyrus before mentioned]
2020 TAILS,4,6,"Resort towns like Destin and Pensacola are located on this body of water, and they are threatened by toxic algal blooms known as red tide. In 2015, British Petroleum reached an $18.7 billion settlement over damage caused by an oil spill in this body of water, known as the Deepwater Horizon disaster. The (*) Yucatan Peninsula and Florida help define, for ten points, what gulf between its namesake country and the U.S.?",Gulf of Mexico
2020 TAILS,4,7,"Heavy and light accents are distinguished in tajwid, a set of rules for proper pronunciation while reciting this work. The name of the first section of this work is translated as “The Opener” and is composed of seven ayats, or verses. This text is made up of 114 sections called (*) suras. This text is believed to be the word of God as passed down by the angel Gabriel to the prophet Muhammad. For ten points, name this Islamic holy text.",the Quran [or Qur’an or Koran]
2020 TAILS,4,8,"The Cauchy-Schwarz (koh-SHEE schwarz) inequality generalizes a theorem describing the side lengths of these shapes. Heron’s formula calculates the area of these shapes using their semiperimeter, and the Euler (OY-ler) line passes through the (*) orthocenter, circumcenter, and centroid of these shapes. The area of these shapes can be expressed as one half the base times the height. For ten points, name these shapes which have interior angles summing to 180 degrees and three sides.",triangles [accept specific kinds of triangles]
2020 TAILS,4,9,"The last king of this country was Fuad II, who was deposed in a coup led by the builder of the Aswan High Dam. That dam created Lake Nasser, which is named after the first president of this nation. This country, along with Syria and Jordan, was defeated by Israel in the Six-Day War after all of its (*) Sinai Peninsula was captured. For ten points, what country that controls the Suez Canal is home to the city of Cairo?",Egypt [or Arab Republic of Egypt or Jumhuriyat Misr al-Arabiyah]
2020 TAILS,4,10,"In a poem by this author, the title character admits “in short, I was afraid” after seeing “the moment of my greatness flicker.” The narrator of that poem by this author asks “Do I dare to eat a peach?” Another poem by this author describes “breeding lilacs out of the dead land” and opens “April is the (*) cruelest month.” For ten points, name this poet of “The Love Song of J. Alfred Prufrock” and “The Waste Land.”",Thomas Stearns Eliot [accept T. S. Eliot]
2020 TAILS,4,11,"One territory of this country is Norfolk Island, which has a population almost entirely made up of descendants of mutineers from the ship The Bounty. This country’s Christmas Island is home to the largest crab migration in the world. The Bass Strait separates this country from its island province (*) Tasmania. For ten points, what country is home to platypuses, koalas, and kangaroos?",Australia [or Commonwealth of Australia]
2020 TAILS,4,12,"One type of these events is caused by a white dwarf in a binary system stealing matter from its companion - that type is named Type I. Most Type II events of this kind are caused by core collapse and lead to the creation of a (*) black hole. Chinese astronomers observed one of these events in 1054 C.E. that formed the Crab Nebula. For ten points, name these extremely energetic explosions of stars.",supernova
2020 TAILS,4,13,"This politician met with his allies at the Lucca Conference to extend his governorship by five years. In his Commentaries on the Gallic War, this leader detailed his victory over Vercingetorix at the Battle of Alesia. When this leader crossed the (*) Rubicon, he sparked a civil war with an ex-member of the First Triumvirate, Pompey. For ten points, what Roman dictator died on the Ides of March after he was stabbed by his friend Brutus?",Gaius Julius Caesar
2020 TAILS,4,14,"The most common allotrope of this element is a crown-shaped eight-atom ring. Thiol groups must contain this element and hydrogen, and are responsible for this element’s characteristic smell. This element was known in ancient times as (*) brimstone and is a yellow solid at room temperature. For ten points, name this element found below oxygen on the periodic table, which smells like rotten eggs and has chemical symbol S.",sulfur
2020 TAILS,4,15,"A character in this novel claims to be writing a sequel to An Imperial Af liction, a book by Peter van Houten. A character in this novel draws a Venn diagram comparing virgins and 17-year-old guys with one leg after a journey to the Anne Frank House in Amsterdam. In this novel, Augustus dies from a recurrence of (*) cancer after declaring his love for Hazel. For ten points, name this John Green novel about ill-fated teenage love.",The Fault in Our Stars
2020 TAILS,4,16,"This country had its eastern border set at the Curzon Line during the Yalta Conference. This country was partitioned three separate times during the 19th century, and was the largest country divided by the secret Molotov-Ribbentrop Pact. Nazi (*) Germany invaded this country on September 1st, 1939 to start World War II, and the USSR soon followed. For ten points, name this Eastern European country whose capital is Warsaw.",Poland [or the Republic of Poland or Rzeczpospolita Polska]
2020 TAILS,4,17,"This actor played an artificial humanoid who makes beautiful sculptures out of ice, trees, and bushes, before falling in love with a young suburban woman in the movie Edward Scissorhands. It’s not Gene Wilder, but this actor played a man who allows (*) Golden Ticket discoverers to tour his chocolate factory, Willy Wonka. For 10 points, name this actor who played the captain of the Black Pearl, Jack Sparrow, in Pirates of the Caribbean.",Johnny Depp [or John Christopher Depp II]
2020 TAILS,4,18,"The rotational analog of mass is the “moment of” this property. This word describes reference frames in which objects do not accelerate without force acting on them. Newton’s first law of motion, also known as the law of this property, states that objects (*) remain in their current state of motion unless acted on by an external force. For ten points, name this property of matter which causes objects to resist changes in velocity.",inertia
2020 TAILS,4,19,"According to Homer, this deity is served by Euphrosyne (yoo-FRAHZ-ih-nee), Aglaea, and Thalia, otherwise called the Charites or Graces. This deity, who fought a custody battle against Persephone over the handsome Adonis, was born from seafoam following the castration of Uranus. Along with Ares, this goddess was trapped and humiliated in a (*) magic net crafted by her husband Hephaestus. For ten points, name this Greek goddess of love and beauty.",Aphrodite [accept Venus until “Greek”]
